ID,Nội dung,Đánh giá,Label
119,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,5,4
120,Ứng dụng yêu cầu quyền truy cập gì?,5,4
121,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,3,4
122,Làm thế nào để kiểm tra pin?,5,4
123,Có cần cập nhật firmware trước khi sử dụng không?,5,4
124,Tôi muốn biết cách sử dụng chức năng nâng cao.,3,4
125,Ứng dụng yêu cầu quyền truy cập gì?,5,4
126,Tôi không hiểu các nút chức năng trên máy.,4,4
127,Làm thế nào để reset thiết bị về mặc định?,5,4
128,"Hướng dẫn sử dụng quá ngắn, thiếu chi tiết.",3,4
129,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4
130,Tôi cần trợ giúp cài đặt bước đầu tiên.,3,4
131,Có hướng dẫn sử dụng online không?,5,4
132,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4
133,Có video hướng dẫn sử dụng không?,5,4
134,Tôi không biết cách điều chỉnh âm lượng.,3,4
135,Tôi không hiểu các nút chức năng trên máy.,5,4
136,Làm thế nào để reset thiết bị về mặc định?,3,4
137,Tôi muốn biết cách đăng ký tài khoản.,4,4
138,Tôi chưa rõ cách sử dụng chức năng chính.,4,4
139,Có nút nào để khôi phục cài đặt gốc không?,4,4
140,Tôi muốn biết cách sử dụng chức năng nâng cao.,5,4
141,Tôi không tìm thấy mục cài đặt trên ứng dụng.,4,4
142,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,4,4
143,Có hướng dẫn sử dụng online không?,5,4
144,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,5,4
145,Ứng dụng có hoạt động trên iOS không?,5,4
146,Ứng dụng có hoạt động trên iOS không?,5,4
147,Có cần cập nhật firmware trước khi sử dụng không?,5,4
148,Sản phẩm có cần cài driver không?,4,4
149,Có bản demo sử dụng không?,5,4
150,Tôi không biết cách bật chế độ an toàn.,3,4
151,Có bản hướng dẫn in kèm sản phẩm không?,3,4
152,Có cách nào sử dụng không cần ứng dụng không?,5,4
153,Tôi muốn biết cách sử dụng chức năng nâng cao.,3,4
154,Sản phẩm có cần cài driver không?,5,4
155,Làm thế nào để reset thiết bị về mặc định?,5,4
156,Có thể sử dụng sản phẩm khi đang sạc không?,4,4
157,Ứng dụng không hiển thị đúng như hướng dẫn.,4,4
158,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,5,4
159,Không rõ cách kết nối Bluetooth.,3,4
160,Tôi không tìm thấy phần hướng dẫn bằng hình ảnh.,5,4
161,Tôi muốn biết cách sử dụng chức năng nâng cao.,4,4
162,Có thể kết nối thiết bị với tivi không?,5,4
163,Làm thế nào để reset thiết bị về mặc định?,5,4
164,Có bản hướng dẫn in kèm sản phẩm không?,3,4
165,Thiết bị có chế độ tiết kiệm pin không?,3,4
166,Tôi chưa rõ cách bật chế độ ban đêm.,3,4
167,Có nút nào để khôi phục cài đặt gốc không?,4,4
168,Tôi không biết cách bật chế độ an toàn.,5,4
169,Có cách nào sử dụng không cần ứng dụng không?,4,4
170,Có nút nào để khôi phục cài đặt gốc không?,4,4
171,Có cần cập nhật firmware trước khi sử dụng không?,5,4
172,Có cần tạo tài khoản mới để sử dụng không?,4,4
173,Tôi cần trợ giúp cài đặt bước đầu tiên.,5,4
174,Tôi không rõ cách thay pin cho thiết bị.,5,4
175,Tôi cần trợ giúp cài đặt bước đầu tiên.,3,4
176,Có nút nào để khôi phục cài đặt gốc không?,5,4
177,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,4,4
178,Sản phẩm có cần cài driver không?,4,4
179,Tôi chưa rõ cách bật chế độ ban đêm.,4,4
180,Tôi không rõ cách thay pin cho thiết bị.,3,4
181,Làm thế nào để reset thiết bị về mặc định?,3,4
182,Có thể sử dụng sản phẩm khi đang sạc không?,5,4
183,Có bản demo sử dụng không?,5,4
184,Có cách nào sử dụng không cần ứng dụng không?,5,4
185,Làm sao để đồng bộ dữ liệu giữa các thiết bị?,3,4
186,Có tài liệu PDF hướng dẫn không?,3,4
187,Hướng dẫn cài đặt phần mềm quá phức tạp.,5,4
188,Sản phẩm có hỗ trợ nhiều ngôn ngữ không?,4,4
189,Có bản demo sử dụng không?,4,4
190,Có cần tạo tài khoản mới để sử dụng không?,5,4
191,Có cần tạo tài khoản mới để sử dụng không?,4,4
192,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,5,4
193,Có bản demo sử dụng không?,3,4
194,Có thể dùng chung tài khoản cho nhiều thiết bị không?,3,4
195,Tôi gặp khó khăn khi bật nguồn thiết bị.,3,4
196,Tôi muốn biết cách đăng ký tài khoản.,5,4
197,Tôi không hiểu các nút chức năng trên máy.,3,4
198,Tôi cần hướng dẫn chi tiết từng bước.,3,4
199,Có bản hướng dẫn sử dụng bằng tiếng Việt không?,3,4
200,Hướng dẫn không đề cập đến cách vệ sinh sản phẩm.,4,4
